code,energy_kcal_100g,energy_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,sodium_100g,predict
4099200403489,295.0,1234.0,26.0,6.5,11.0,10.0,3.7,1.4,0.56,3
8171163889145,45.0,188.0,2.1,0.8,5.4,2.2,0.8,0.64,0.256,1
8422410029556,337.0,1410.0,3.2,0.6,60.0,7.0,11.0,0.04,0.016,2
82107796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
834164003009,270.58823529412,1132.0,0.0,0.0,64.705882352941,2.3529411764706,3.5294117647059,0.0,0.0,3
8022216010439,253.0,1059.0,6.6,1.5,37.0,4.0,11.0,0.5,0.2,3
21140023520,48.0,201.0,0.0,0.0,13.71,8.87,0.0,0.02,0.008,1
13800275110,171.71717171717,718.0,7.0707070707071,3.7037037037037,17.508417508418,2.6936026936027,9.4276094276094,0.73232323232323,0.292929292929292,3
4018462250204,383.0,1624.0,2.7,0.6,82.0,0.4,7.9,0.03,0.012,2
4056489207993,828.0,3464.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8018848012804,488.0,2042.0,19.1,3.9,68.3,30.9,7.5,0.15,0.06,2
8005110001895,44.0,184.0,0.5,0.1,8.0,7.0,1.8,0.23,0.092,1
3700118302849,673.0,2816.0,10.0,4.3,1.8,0.5,16.0,0.0,0.0,0
7612052006126,533.0,2230.0,43.9,7.8,30.1,7.0,18.2,1.0,0.4,2
2687693004584,182.0,761.0,7.2,3.2,23.2,2.3,5.6,1.2,0.48,3
8682588751363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5057172628391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
658010120593,409.09090909091,1712.0,7.9545454545455,1.1363636363636,18.181818181818,4.5454545454545,68.181818181818,1.0227272727273,0.40909090909092,2
3440776670002,214.0,895.0,18.0,12.0,2.0,2.0,11.0,0.97500002384186,0.390000009536744,3
688267529023,22.0,92.0,0.0,0.0,5.56,5.0,0.28,0.0025,0.001,1
4306205317322,338.0,1414.0,2.2,0.2,64.0,15.0,10.0,0.18,0.072,2
80839934,155.0,649.0,0.0,0.0,37.0,36.0,0.0,0.0,0.0,3
8016225284325,555.0,2322.0,36.0,14.0,47.0,32.0,8.9,0.0,0.0,2
41512135972,395.0,1653.0,13.16,5.26,68.42,50.0,2.63,0.855,0.342,2
96037652,162.5,680.0,35.4,4.1,33.1,13.5,20.9,0.0,0.0,3
3330143500233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
